지역명,연도,월,평당분양가격
전국,2013,12,8059
서울,2013,12,18189
부산,2013,12,8111
대구,2013,12,8080
인천,2013,12,10204
광주,2013,12,6098
대전,2013,12,8321
울산,2013,12,8090
,2013,12,8151
경기,2013,12,10855
수도권,2013,12,13083
세종,2013,12,7601
강원,2013,12,6230
충북,2013,12,6589
충남,2013,12,6365
전북,2013,12,6282
전남,2013,12,5678
경북,2013,12,6168
경남,2013,12,6473
제주,2013,12,7674
,2013,12,6432
전국,2014,1,8130
서울,2014,1,17925
부산,2014,1,8111
대구,2014,1,8080
인천,2014,1,10204
광주,2014,1,7326
대전,2014,1,8321
울산,2014,1,8090
,2014,1,8355
경기,2014,1,10855
수도권,2014,1,12995
세종,2014,1,7600
강원,2014,1,6230
충북,2014,1,6589
충남,2014,1,6365
전북,2014,1,6281
전남,2014,1,5678
경북,2014,1,6168
경남,2014,1,6485
제주,2014,1,7900
,2014,1,6462
전국,2014,2,8195
서울,2014,2,17925
부산,2014,2,9078
대구,2014,2,8077
인천,2014,2,10408
광주,2014,2,7611
대전,2014,2,8321
울산,2014,2,8090
,2014,2,8597
경기,2014,2,10791
수도권,2014,2,13041
세종,2014,2,7532
강원,2014,2,6230
충북,2014,2,6611
충남,2014,2,6379
전북,2014,2,5946
전남,2014,2,5678
경북,2014,2,6234
경남,2014,2,6502
제주,2014,2,7900
,2014,2,6435
전국,2014,3,8204
서울,2014,3,18016
부산,2014,3,8965
대구,2014,3,8101
인천,2014,3,10408
광주,2014,3,7346
대전,2014,3,8341
울산,2014,3,8153
,2014,3,8552
경기,2014,3,10784
수도권,2014,3,13069
세종,2014,3,7814
강원,2014,3,6141
충북,2014,3,6625
충남,2014,3,6287
전북,2014,3,5966
전남,2014,3,5696
경북,2014,3,6317
경남,2014,3,6610
제주,2014,3,7900
,2014,3,6443
전국,2014,4,8289
서울,2014,4,18098
부산,2014,4,9402
대구,2014,4,8267
인천,2014,4,10000
광주,2014,4,7346
대전,2014,4,8341
울산,2014,4,8153
,2014,4,8585
경기,2014,4,10876
수도권,2014,4,12991
세종,2014,4,7908
강원,2014,4,6373
충북,2014,4,6678
충남,2014,4,6552
전북,2014,4,6277
전남,2014,4,5736
경북,2014,4,6412
경남,2014,4,6599
제주,2014,4,7900
,2014,4,6566
전국,2014,5,8358
서울,2014,5,19446
부산,2014,5,9501
대구,2014,5,8274
인천,2014,5,9844
광주,2014,5,7523
대전,2014,5,8341
울산,2014,5,8153
,2014,5,8606
경기,2014,5,10646
수도권,2014,5,13312
세종,2014,5,7934
강원,2014,5,6350
충북,2014,5,6598
충남,2014,5,6591
전북,2014,5,6306
전남,2014,5,5656
경북,2014,5,6409
경남,2014,5,6610
제주,2014,5,7900
,2014,5,6552
전국,2014,6,8344
서울,2014,6,18867
부산,2014,6,9453
대구,2014,6,8360
인천,2014,6,10058
광주,2014,6,7659
대전,2014,6,8333
울산,2014,6,8153
,2014,6,8669
경기,2014,6,10266
수도권,2014,6,13064
세종,2014,6,8067
강원,2014,6,6350
충북,2014,6,6587
충남,2014,6,6644
전북,2014,6,6351
전남,2014,6,5609
경북,2014,6,6554
경남,2014,6,6615
제주,2014,6,7914
,2014,6,6578
전국,2014,7,8333
서울,2014,7,18742
부산,2014,7,9457
대구,2014,7,8360
인천,2014,7,9974
광주,2014,7,7612
대전,2014,7,8333
울산,2014,7,8153
,2014,7,8648
경기,2014,7,10124
수도권,2014,7,12947
세종,2014,7,8067
강원,2014,7,6268
충북,2014,7,6586
충남,2014,7,6805
전북,2014,7,6319
전남,2014,7,5780
경북,2014,7,6556
경남,2014,7,6613
제주,2014,7,7914
,2014,7,6605
전국,2014,8,8395
서울,2014,8,19274
부산,2014,8,9411
대구,2014,8,8370
인천,2014,8,9973
광주,2014,8,7622
대전,2014,8,8333
울산,2014,8,8493
,2014,8,8700
경기,2014,8,10134
수도권,2014,8,13127
세종,2014,8,8141
강원,2014,8,6268
충북,2014,8,6586
충남,2014,8,6914
전북,2014,8,6436
전남,2014,8,5685
경북,2014,8,6563
경남,2014,8,6606
제주,2014,8,7914
,2014,8,6621
전국,2014,9,8459
서울,2014,9,19404
부산,2014,9,9258
대구,2014,9,8449
인천,2014,9,9973
광주,2014,9,7802
대전,2014,9,8048
울산,2014,9,8493
,2014,9,8671
경기,2014,9,10501
수도권,2014,9,13293
세종,2014,9,8282
강원,2014,9,6419
충북,2014,9,6584
충남,2014,9,6882
전북,2014,9,6719
전남,2014,9,5804
경북,2014,9,6577
경남,2014,9,6767
제주,2014,9,7833
,2014,9,6698
전국,2014,10,8488
서울,2014,10,19759
부산,2014,10,9110
대구,2014,10,8403
인천,2014,10,10016
광주,2014,10,7707
대전,2014,10,8038
울산,2014,10,8627
,2014,10,8650
경기,2014,10,10397
수도권,2014,10,13391
세종,2014,10,8527
강원,2014,10,6631
충북,2014,10,6529
충남,2014,10,6831
전북,2014,10,6581
전남,2014,10,5753
경북,2014,10,6778
경남,2014,10,6881
제주,2014,10,7724
,2014,10,6714
전국,2014,11,8569
서울,2014,11,20242
부산,2014,11,9208
대구,2014,11,8439
인천,2014,11,10020
광주,2014,11,7752
대전,2014,11,8067
울산,2014,11,8891
,2014,11,8730
경기,2014,11,10356
수도권,2014,11,13539
세종,2014,11,8592
강원,2014,11,6365
충북,2014,11,6724
충남,2014,11,6940
전북,2014,11,6583
전남,2014,11,5768
경북,2014,11,6881
경남,2014,11,7125
제주,2014,11,7724
,2014,11,6764
전국,2014,12,8584
서울,2014,12,20269
부산,2014,12,9208
대구,2014,12,8253
인천,2014,12,10020
광주,2014,12,7748
대전,2014,12,8067
울산,2014,12,8891
,2014,12,8698
경기,2014,12,10379
수도권,2014,12,13556
세종,2014,12,8560
강원,2014,12,6365
충북,2014,12,6743
충남,2014,12,6989
전북,2014,12,6583
전남,2014,12,5784
경북,2014,12,6989
경남,2014,12,7332
제주,2014,12,7739
,2014,12,6816
전국,2015,1,8605
서울,2015,1,20670
부산,2015,1,9204
대구,2015,1,8327
인천,2015,1,10017
광주,2015,1,7752
대전,2015,1,8067
울산,2015,1,8526
,2015,1,8649
경기,2015,1,10391
수도권,2015,1,13693
세종,2015,1,8560
강원,2015,1,6348
충북,2015,1,6749
충남,2015,1,6976
전북,2015,1,6583
전남,2015,1,5784
경북,2015,1,6992
경남,2015,1,7592
제주,2015,1,7739
,2015,1,6846
전국,2015,2,8602
서울,2015,2,20670
부산,2015,2,9235
대구,2015,2,8416
인천,2015,2,9876
광주,2015,2,7756
대전,2015,2,8067
울산,2015,2,8526
,2015,2,8646
경기,2015,2,10355
수도권,2015,2,13634
세종,2015,2,8560
강원,2015,2,6350
충북,2015,2,6747
충남,2015,2,6980
전북,2015,2,6583
전남,2015,2,5833
경북,2015,2,6953
경남,2015,2,7588
제주,2015,2,7739
,2015,2,6847
전국,2015,3,8563
서울,2015,3,19415
부산,2015,3,9279
대구,2015,3,8441
인천,2015,3,9876
광주,2015,3,7861
대전,2015,3,8067
울산,2015,3,8629
,2015,3,8692
경기,2015,3,10469
수도권,2015,3,13253
세종,2015,3,8555
강원,2015,3,6182
충북,2015,3,6783
충남,2015,3,7161
전북,2015,3,6542
전남,2015,3,5825
경북,2015,3,6997
경남,2015,3,7668
제주,2015,3,7826
,2015,3,6873
전국,2015,4,8613
서울,2015,4,18842
부산,2015,4,9327
대구,2015,4,8446
인천,2015,4,9938
광주,2015,4,7914
대전,2015,4,8145
울산,2015,4,9380
,2015,4,8858
경기,2015,4,10684
수도권,2015,4,13155
세종,2015,4,8546
강원,2015,4,6924
충북,2015,4,6790
충남,2015,4,7017
전북,2015,4,6551
전남,2015,4,5940
경북,2015,4,7006
경남,2015,4,7683
제주,2015,4,7285
,2015,4,6899
전국,2015,5,8624
서울,2015,5,18367
부산,2015,5,9345
대구,2015,5,8568
인천,2015,5,10551
광주,2015,5,7877
대전,2015,5,8272
울산,2015,5,9192
,2015,5,8967
경기,2015,5,10685
수도권,2015,5,13201
세종,2015,5,8546
강원,2015,5,6846
충북,2015,5,6805
충남,2015,5,6975
전북,2015,5,6556
전남,2015,5,6050
경북,2015,5,6966
경남,2015,5,7717
제주,2015,5,7285
,2015,5,6900
전국,2015,6,8627
서울,2015,6,18374
부산,2015,6,9515
대구,2015,6,8542
인천,2015,6,10443
광주,2015,6,7881
대전,2015,6,8079
울산,2015,6,9190
,2015,6,8942
경기,2015,6,10573
수도권,2015,6,13130
세종,2015,6,8671
강원,2015,6,6986
충북,2015,6,6682
충남,2015,6,6939
전북,2015,6,6601
전남,2015,6,6243
경북,2015,6,6887
경남,2015,6,7715
제주,2015,6,7343
,2015,6,6925
전국,2015,7,8643
서울,2015,7,18152
부산,2015,7,9559
대구,2015,7,8542
인천,2015,7,10443
광주,2015,7,8089
대전,2015,7,8079
울산,2015,7,9190
,2015,7,8984
경기,2015,7,10518
수도권,2015,7,13038
세종,2015,7,8669
강원,2015,7,7019
충북,2015,7,6601
충남,2015,7,6935
전북,2015,7,6750
전남,2015,7,6286
경북,2015,7,7035
경남,2015,7,7723
제주,2015,7,7343
,2015,7,6961
전국,2015,8,8678
서울,2015,8,18443
부산,2015,8,9581
대구,2015,8,8795
인천,2015,8,10449
광주,2015,8,8231
대전,2015,8,8079
울산,2015,8,9215
,2015,8,9058
경기,2015,8,10573
수도권,2015,8,13155
세종,2015,8,8695
강원,2015,8,7008
충북,2015,8,6603
충남,2015,8,6942
전북,2015,8,6580
전남,2015,8,6289
경북,2015,8,7037
경남,2015,8,7665
제주,2015,8,7343
,2015,8,6933
전국,2015,9,8665
서울,2015,9,17969
부산,2015,9,9608
대구,2015,9,8863
인천,2015,9,10450
광주,2015,9,8083
대전,2015,9,7917
울산,2015,9,9215
,2015,9,9023
경기,2015,9,10341
수도권,2015,9,12920
세종,2015,9,8715
강원,2015,9,7121
충북,2015,9,6606
충남,2015,9,6939
전북,2015,9,6885
전남,2015,9,6245
경북,2015,9,7029
경남,2015,9,7947
제주,2015,9,7379
,2015,9,7019
